Date,Open,High,Low,Close,Volume,Number of Trades
2023-02-16,153.51,156.33,153.3475,153.71,68167942.0,516187
2023-02-17,152.35,153.0,150.85,152.55,59105618.0,468580
2023-02-21,150.2,151.3,148.405,148.48,58217230.0,509342
2023-02-22,148.87,149.95,147.16,148.91,51008155.0,429775
2023-02-23,150.09,150.34,147.24,149.4,48392049.0,425159
2023-02-24,147.11,147.19,145.7202,146.71,55469606.0,472221
2023-02-27,147.71,149.17,147.45,147.92,44998470.0,418069
2023-02-28,147.05,149.08,146.83,147.41,50546998.0,383779
2023-03-01,146.83,147.2285,145.01,145.31,55478991.0,461613
2023-03-02,144.38,146.71,143.9,145.91,52279761.0,413238
2023-03-03,148.045,151.11,147.33,151.03,70725339.0,558706
2023-03-06,153.785,156.3,153.46,153.83,87558028.0,691990
2023-03-07,153.7,154.0299,151.13,151.6,56136378.0,496631
2023-03-08,152.81,153.47,151.83,152.87,47204791.0,405203
2023-03-09,153.559,154.535,150.225,150.59,53833122.0,480909
2023-03-10,150.21,150.94,147.6096,148.5,68559600.0,611457
2023-03-13,147.805,153.14,147.7,150.47,84457122.0,760660
2023-03-14,151.28,153.4,150.1,152.59,72045893.0,565196
2023-03-15,151.19,153.245,149.92,152.99,77167866.0,703116
2023-03-16,152.16,156.46,151.64,155.85,76206919.0,676097
2023-03-17,156.08,156.74,154.28,155.0,98944633.0,615778
2023-03-20,155.07,157.82,154.15,157.4,72711415.0,628984
2023-03-21,157.32,159.4,156.54,159.28,73938285.0,590982
2023-03-22,159.3,162.14,157.81,157.83,75349311.0,656865
2023-03-23,158.83,161.5501,157.68,158.93,67482060.0,614268
2023-03-24,158.86,160.34,157.85,160.25,59006343.0,517531
2023-03-27,159.94,160.77,157.87,158.28,52390266.0,518436
2023-03-28,157.97,158.49,155.98,157.65,45992152.0,432447
2023-03-29,159.37,161.05,159.35,160.77,51305691.0,472077
2023-03-30,161.53,162.47,161.271,162.36,49210289.0,456152
2023-03-31,162.44,165.0,161.91,164.9,68749792.0,574409
2023-04-03,164.27,166.29,164.22,166.17,56976187.0,568686
2023-04-04,166.595,166.84,165.11,165.63,46278295.0,456306
2023-04-05,164.74,165.05,161.8,163.76,51511744.0,533621
2023-04-06,162.43,164.9584,162.0,164.66,45390123.0,446212
2023-04-10,161.42,162.03,160.08,162.03,47670382.0,563913
2023-04-11,162.35,162.36,160.51,160.8,47494217.0,490479
2023-04-12,161.22,162.06,159.78,160.1,50133062.0,514261
2023-04-13,161.63,165.8,161.42,165.56,68418649.0,595709
2023-04-14,164.59,166.32,163.82,165.21,49314480.0,489551
2023-04-17,165.09,165.39,164.03,165.23,41516217.0,483388
2023-04-18,166.1,167.41,165.65,166.47,49915508.0,494642
2023-04-19,165.8,168.16,165.54,167.63,47621166.0,473866
2023-04-20,166.09,167.87,165.56,166.65,52456377.0,493153
2023-04-21,165.05,166.4521,164.49,165.02,57736141.0,520279
2023-04-24,165.0,165.6,163.89,165.33,41449581.0,459499
2023-04-25,165.19,166.305,163.73,163.77,48652863.0,501548
2023-04-26,163.055,165.28,162.8,163.76,45487296.0,493403
2023-04-27,165.19,168.56,165.19,168.41,64898729.0,575981
2023-04-28,168.49,169.85,167.8801,169.68,55275851.0,527763
2023-05-01,169.28,170.45,168.64,169.59,52424936.0,540745
2023-05-02,170.09,170.35,167.54,168.54,48425696.0,509755
2023-05-03,169.5,170.92,167.16,167.45,65126998.0,610052
2023-05-04,164.89,167.04,164.31,165.79,81225673.0,832121
2023-05-05,170.975,174.3,170.76,173.57,113402971.0,915977
2023-05-08,172.48,173.85,172.11,173.5,55962634.0,563138
2023-05-09,173.05,173.54,171.6,171.77,45326874.0,456209
2023-05-10,173.02,174.03,171.9,173.555,53724501.0,511486
2023-05-11,173.85,174.59,172.17,173.75,49473076.0,501955
2023-05-12,173.62,174.06,171.0,172.57,45533138.0,490533
2023-05-15,173.16,173.21,171.47,172.07,37264259.0,444785
2023-05-16,171.99,173.1383,171.7991,172.07,42110293.0,436165
2023-05-17,171.71,172.925,170.4201,172.69,57934404.0,554940
2023-05-18,173.0,175.24,172.58,175.05,65496657.0,595692
2023-05-19,176.39,176.39,174.94,175.16,55525641.0,532731
2023-05-22,173.98,174.71,173.45,174.2,43570932.0,526393
2023-05-23,173.13,173.3794,171.275,171.56,50745163.0,535091
2023-05-24,171.09,172.4183,170.52,171.84,43711588.0,492275
2023-05-25,172.41,173.895,171.69,172.99,55889523.0,534909
2023-05-26,173.32,175.77,173.11,175.43,54834975.0,529918
2023-05-30,176.96,178.99,176.57,177.3,55963954.0,651318
2023-05-31,177.325,179.35,176.76,177.25,99625288.0,669221
2023-06-01,177.7,180.12,176.9306,180.09,68901712.0,624132
2023-06-02,181.03,181.78,179.26,180.95,61996852.0,617235
2023-06-05,182.63,184.951,178.035,179.58,121722517.0,1286180
2023-06-06,179.965,180.12,177.43,179.21,64845314.0,705164
2023-06-07,178.44,181.21,177.32,177.82,61944615.0,669062
2023-06-08,177.895,180.84,177.46,180.57,50210681.0,548456
2023-06-09,181.5,182.23,180.63,180.96,48869360.0,557894
2023-06-12,181.27,183.89,180.97,183.79,54754995.0,562058
2023-06-13,182.8,184.15,182.44,183.31,54867129.0,608337
2023-06-14,183.37,184.39,182.02,183.95,57462782.0,614097
2023-06-15,183.96,186.52,183.78,186.01,65433166.0,697003
2023-06-16,186.73,186.99,184.27,184.92,101151225.0,616272
2023-06-20,184.41,186.1,184.41,185.01,49799092.0,577495
2023-06-21,184.9,185.41,182.5901,183.96,49515697.0,520855
2023-06-22,183.74,187.045,183.67,187.0,51245327.0,563076
2023-06-23,185.55,187.56,185.01,186.68,53112346.0,539704
2023-06-26,186.83,188.05,185.23,185.27,48088661.0,584497
2023-06-27,185.89,188.39,185.67,188.06,50731499.0,511869
